LLM1: CHATGPT,,,,,,,,,,,,,,,,
LLM2: GEMINI,,,,,,,,,,,,,,,,
ID do artigo,Tipo de publicação,Local de publicação,Título,Link,Ano ,Autores,País,Base de Dados,RQ (Pergunta de Pesquisa),Extração LLM 1 (ChatGPT),Extração LLM 2 (Gemini),Extração validada (humana),ChatGPT acertou?,Gemini acertou?,Concordância entre LLMs,Observações / Comentários
ES01,Journal,Elsevier BV,Walk or Ride? An Empirical Study on Cobot-Assisted Traveling in Warehouse 5.0 Picker-to-Parts Order Picking Systems,https://doi.org/10.1016/j.ifacol.2025.09.369,2025,"Koreis, J.; Klumpp, M.",Países Baixos,Scopus,RQ1,"Cobot-assistência aplicada em sistemas picker-to-parts de armazém, em que o robô pode seguir o trabalhador ou servir como plataforma para o trabalhador montar e viajar; isso visa reduzir tempos de viagem e melhorar eficiência operacional. (Koreis & Klumpp, 2025, p. 2196).","O estudo foca em sistemas de separação de pedidos (order picking) ""picker-to-parts"" em um armazém de varejo de alimentos (Koreis & Klumpp, 2025, p. 2197). O uso de cobots que permitem ao operador andar ou montar (ride-on) reduz o tempo de tarefa em aproximadamente 14,4% em comparação com métodos tradicionais, impactando a eficiência operacional (Koreis & Klumpp, 2025, p. 2198).","Em sistemas de separação de pedidos do tipo ""picker-to-parts"" em armazéns de varejo (ex.: supermercado). Cobots que seguem o operador ou servem como plataforma de montaria são usados para viagens entre locais de separação.
Impacto: Identificou um limiar de distância (6.4 metros) para otimizar o tempo de desempenho da tarefa. Abaixo desse limite, é mais eficiente o operador caminhar com o cobot seguindo; acima, é mais eficiente montar no cobot. Esta otimização dinâmica promete melhorar a eficiência operacional e reduzir custos.",Sim,Sim,Igual,
ES01,Journal,Elsevier BV,Walk or Ride? An Empirical Study on Cobot-Assisted Traveling in Warehouse 5.0 Picker-to-Parts Order Picking Systems,https://doi.org/10.1016/j.ifacol.2025.09.370,2025,"Koreis, J.; Klumpp, M.",Países Baixos,Scopus,RQ2,"Aplicações baseadas em cobots com navegação autônoma integrada ao WMS e registro de telemetria para distinguir modos (walking / following / riding); análise estatística (linear mixed-effects model) usada para avaliar impacto operacional. (Koreis & Klumpp, 2025, pp. 2197–2198).","São utilizados robôs colaborativos (cobots) do tipo ""ride-on"" (veículos guiados autônomos) que podem seguir o operador autonomamente (modo ativo) ou servir como plataforma de transporte (modo manual) (Koreis & Klumpp, 2025, p. 2195, 2197). O sistema integra transmissores GPS para rastreamento do operador (Koreis & Klumpp, 2025, p. 2197).","A principal tecnologia habilitadora são os robôs colaborativos (cobots) de montaria, que podem operar em modo ativo (seguir o separador) ou manual (serem conduzidos). O estudo baseou-se em análise de dados do mundo real (dados de WMS e do fabricante do cobot) e empregou um modelo de regressão de efeitos mistos para identificar o limiar de eficiência.",Parcialmente,Sim,Diferente,
ES01,Journal,Elsevier BV,Walk or Ride? An Empirical Study on Cobot-Assisted Traveling in Warehouse 5.0 Picker-to-Parts Order Picking Systems,https://doi.org/10.1016/j.ifacol.2025.09.371,2025,"Koreis, J.; Klumpp, M.",Países Baixos,Scopus,RQ3,"Desafios: tempo perdido em montar/desmontar veículos manuais (stepping on/off) que reduz benefícios do ride; variabilidade com distância de viagem e densidade de picks que modera ganhos; necessidade de limpar e filtrar dados operacionais. (Koreis & Klumpp, 2025, pp. 2197–2199).","Um desafio técnico e operacional é determinar o ponto ideal para transição entre caminhar e montar no robô. O estudo identificou que caminhar é benéfico até uma distância de 6,4 metros; acima disso, montar torna-se mais eficiente devido ao tempo perdido subindo e descendo do veículo (Koreis & Klumpp, 2025, p. 2195, 2199).","Determinar o ponto ótimo de transição entre caminhar e montar para maximizar o desempenho, considerando distância e densidade da separação.
Desafio de Aceitação/Ergonomia: Sistemas tradicionais com empilhadeiras manuais exigem subir e descer frequentemente, o que aumenta o tempo da tarefa e a fadiga. O cobot visa mitigar isso.",Sim,Sim,Igual,
ES01,Journal,Elsevier BV,Walk or Ride? An Empirical Study on Cobot-Assisted Traveling in Warehouse 5.0 Picker-to-Parts Order Picking Systems,https://doi.org/10.1016/j.ifacol.2025.09.372,2025,"Koreis, J.; Klumpp, M.",Países Baixos,Scopus,RQ4,"Ergonomia e fatores humanos são citados: diferenças entre trabalhadores (idade, capacidade física), carga cognitiva e necessidade de treinar pickers sobre quando alternar caminhar/andar; benefícios percebidos mais para empresa do que pessoais. (Koreis & Klumpp, 2025, pp. 2197–2199).","Fatores ergonômicos incluem a redução da tensão física e fadiga ao diminuir a caminhada e as ações de subir/descer do veículo (Koreis & Klumpp, 2025, p. 2196). Organizacionalmente, destaca-se a necessidade de programas de treinamento que enfatizem os limites de distância para maximizar a produtividade e permitir ajustes dinâmicos durante as operações (Koreis & Klumpp, 2025, p. 2195, 2199).","Fatores Ergonômicos: A redução do tempo de caminhada e a eliminação das ações de subir/descer de veículos manuais reduzem o esforço físico e potencialmente o risco de lesões, melhorando a satisfação do trabalhador.
Fatores Organizacionais: Os resultados oferecem insights acionáveis para otimizar a colaboração humano-robô. Programas de treinamento podem enfatizar o limiar de 6.4m para maximizar a produtividade. ",Sim,Sim,Igual,
ES01,Journal,Elsevier BV,Walk or Ride? An Empirical Study on Cobot-Assisted Traveling in Warehouse 5.0 Picker-to-Parts Order Picking Systems,https://doi.org/10.1016/j.ifacol.2025.09.373,2025,"Koreis, J.; Klumpp, M.",Países Baixos,Scopus,RQ5,"Lacuna / Futuro: identificação prática de um limiar (6.4 m) para alternância walking→riding (uso operacional/treinamento); sugere investigação adicional sobre políticas de uso, otimização em diferentes layouts e avaliação da aceitabilidade do usuário em larga escala. (Koreis & Klumpp, 2025, pp. 2198–2200).","O estudo aponta limitações por focar em um único varejista. Pesquisas futuras devem expandir para múltiplos ambientes de armazém, diferentes layouts e segmentos de produtos. Também sugere incorporar avaliações biomecânicas para explorar benefícios ergonômicos e riscos associados ao uso de cobots (Koreis & Klumpp, 2025, p. 2199).","O estudo foi conduzido em um único armazém de varejo de alimentos, o que pode limitar a generalização dos resultados. Pesquisas futuras podem examinar múltiplos ambientes de armazém, diferentes layouts ou outros segmentos de produtos/indústrias. Além disso, futuros estudos podem incorporar avaliações biomecânicas para explorar os benefícios e riscos ergonômicos associados ao uso de cobots. ",Sim,Parcialmente,Diferente,
ES02,Journal,MDPI AG,Digital Twin-Enabled Adaptive Robotics: Leveraging Large Language Models in Isaac Sim for Unstructured Environments,https://doi.org/10.3390/machines13070620,2025,"Nambiar, S.; Paul, R.C.; Ikechukwu, O.C.; Jonsson, M.; Tarkian, M.",Suíça,Scopus,RQ1,"Aplicação demonstrada em hospital test lab: robot YuMi automatiza triagem/ordenamento de lâminas de microscópio; impacto relatado: permite interação por usuários não treinados e libera recursos humanos para tarefas críticas. (Nambiar et al., 2025, p. 1).","O sistema foi aplicado em um laboratório de testes hospitalar para a classificação automatizada de lâminas de microscópio, onde técnicos e médicos (sem treinamento em robótica) interagem com o robô YuMi (Nambiar et al., 2025, p. 1, 2). O impacto é a liberação de recursos humanos valiosos de tarefas manuais demoradas e a permissão para que usuários não treinados instruam o robô via comandos de voz (Nambiar et al., 2025, p. 2).","Aplicação: Um robô colaborativo YuMi em um laboratório de testes hospitalar, automatizando a tarefa de triagem/classificação de lâminas de microscópio, em um ambiente não estruturado e dinâmico, com interação de usuários não treinados em robótica.
Impacto: O framework proposto permitiu a interação intuitiva por linguagem natural e a sincronização em tempo real entre os ambientes físico e digital, melhorando a usabilidade e adaptabilidade em ambientes dinâmicos. A taxa de sucesso geral nas validações foi de 60%. ",Sim,Sim,Igual,
ES02,Journal,MDPI AG,Digital Twin-Enabled Adaptive Robotics: Leveraging Large Language Models in Isaac Sim for Unstructured Environments,https://doi.org/10.3390/machines13070621,2025,"Nambiar, S.; Paul, R.C.; Ikechukwu, O.C.; Jonsson, M.; Tarkian, M.",Suíça,Scopus,RQ2,"Integração de RealSense D435i (percepção 3D), Isaac Sim (simulação/DT), e um LLM local (Mistral 7B) para interpretação de comandos por voz; comunicação bidirecional entre físico e virtual (digital twin com percepção em tempo real). (Nambiar et al., 2025, pp. 1–3).","As tecnologias incluem Gêmeos Digitais (Digital Twins) baseados em física (Nvidia Isaac Sim), Grandes Modelos de Linguagem (LLMs) executados localmente (Mistral 7B via Ollama), percepção em tempo real com câmera de profundidade (Intel RealSense D435i), e comunicação via ROS (Robot Operating System) (Nambiar et al., 2025, p. 1, 7, 10).","Tecnologias Habilitadoras: Gêmeo Digital (DT) adaptativo construído no Nvidia Isaac Sim (simulação baseada em física). Percepção em Tempo Real com câmera de profundidade Intel RealSense D435i. Modelo de Linguagem de Grande Porte (LLM) local (Mistral 7B via Ollama) para interpretação de comandos de voz. Integração e Comunicação via ROS (Robot Operating System), EGM (Externally Guided Motion) e RWS (Robot Web Services) para controle do robô físico.",Sim,Sim,Igual,
ES02,Journal,MDPI AG,Digital Twin-Enabled Adaptive Robotics: Leveraging Large Language Models in Isaac Sim for Unstructured Environments,https://doi.org/10.3390/machines13070622,2025,"Nambiar, S.; Paul, R.C.; Ikechukwu, O.C.; Jonsson, M.; Tarkian, M.",Suíça,Scopus,RQ3,"Desafios técnicos e de robustez: taxa de sucesso global do sistema nos testes foi 60% indicando falhas/limitações; restrições de hardware e escalabilidade e preocupações de segurança/robustez citadas na discussão. (Nambiar et al., 2025, pp. 1, 14).","Desafios incluem a operação em ambientes não estruturados e dinâmicos, obstrução da câmera pelo braço do robô durante o movimento, e falhas na simulação física devido a objetos pequenos (lâminas de vidro) (Nambiar et al., 2025, p. 2, 16). Há também restrições de hardware (carga na GPU/CPU) que afetam a taxa de sincronização e a latência (Nambiar et al., 2025, p. 17).","Desafios Técnicos: Operar em ambientes não estruturados e dinâmicos. Dependência de recursos de hardware (GPU), causando gargalos na simulação e baixa taxa de sucesso. Falhas no módulo de percepção devido a iluminação e oclusão. Limitações no reconhecimento de fala (sotaques, ruído). Comportamento irregular do motor de física ao lidar com objetos pequenos. Falta de um mecanismo robusto de tratamento de erros.
Desafios de Segurança: O sistema contorna o controlador padrão do robô, desativando recursos de segurança embutidos. Não há um módulo de segurança dedicado para detectar presença humana durante a operação.",Sim,Sim,Igual,
ES02,Journal,MDPI AG,Digital Twin-Enabled Adaptive Robotics: Leveraging Large Language Models in Isaac Sim for Unstructured Environments,https://doi.org/10.3390/machines13070623,2025,"Nambiar, S.; Paul, R.C.; Ikechukwu, O.C.; Jonsson, M.; Tarkian, M.",Suíça,Scopus,RQ4,"O artigo discute a importância de balancear autonomia do DT com agência humana e indica que a interface de linguagem facilita uso por não-especialistas, apontando implicações de usabilidade e responsabilidade na operação (human-centric Industry 5.0). (Nambiar et al., 2025, pp. 1–3).","O estudo destaca a importância de permitir que pessoal não treinado (médicos/técnicos) interaja intuitivamente com robôs colaborativos usando linguagem natural, superando a falta de conhecimento em programação de robôs (Nambiar et al., 2025, p. 2). A segurança é crítica, pois o controlador padrão do robô é ignorado, transferindo a responsabilidade da segurança para o framework desenvolvido (Nambiar et al., 2025, p. 18).","Fatores Organizacionais/Ergonômicos:
1. O framework foi projetado para técnicos de laboratório e médicos que são especialistas em seu campo, mas não treinados em robótica (Nambiar et al., 2025, p. 2).
2. A interface de linguagem natural visa tornar o sistema mais intuitivo e acessível para usuários não especialistas

Fatores Éticos: Não mencionado no artigo analisado.",Sim,Sim,Igual,
ES02,Journal,MDPI AG,Digital Twin-Enabled Adaptive Robotics: Leveraging Large Language Models in Isaac Sim for Unstructured Environments,https://doi.org/10.3390/machines13070624,2025,"Nambiar, S.; Paul, R.C.; Ikechukwu, O.C.; Jonsson, M.; Tarkian, M.",Suíça,Scopus,RQ5,"Lacunas e futuro: necessidade de melhorar robustez do módulo de percepção e da interface LLM, explorar escalabilidade/hardware e aumentar a taxa de sucesso; destaca investigação adicional sobre segurança, sincronização bidirecional e integração em ambientes industriais dinâmicos. (Nambiar et al., 2025, pp. 14–16).","Lacunas incluem a necessidade de redundância sensorial (ex: câmeras montadas no braço ou sensores táteis) para evitar oclusão e melhorar a robustez (Nambiar et al., 2025, p. 16-17). Trabalhos futuros devem focar em mecanismos de tratamento de erros autônomos assistidos por LLM, escalabilidade para múltiplos robôs e melhoria da generalização para outros domínios industriais (Nambiar et al., 2025, p. 18-19).","Lacunas e Futuro:
1. Melhorias na percepção: Incluir um módulo de câmera adicional para monitorar interações humanas e garantir segurança; integrar modalidades de sensoriamento redundantes (ex.: tátil) (Nambiar et al., 2025, p. 16-17).
2. Comunicação em tempo real com o LLM: Permitir que os usuários interajam com o sistema dinamicamente durante a simulação, não apenas no início (Nambiar et al., 2025, p. 17).
3. Escalabilidade e robustez: Distribuir cargas computacionais em múltiplos sistemas; desenvolver uma camada de abstração de hardware para diferentes tipos de robôs; integrar um módulo de segurança dedicado com análise de risco (Nambiar et al., 2025, p. 17-18).
4. Mecanismo de tratamento de erros: Implementar um sistema dinâmico baseado em multiagentes integrado ao LLM para detectar e corrigir erros (ex.: reiniciar servidores) automaticamente (Nambiar et al., 2025, p. 18).
5. Generalização para outros domínios: Adaptar o sistema de percepção para novos tipos de objetos e condições de iluminação em ambientes como logística ou montagem automotiva",Sim,Sim,Igual,
